l,m,v,n,t,b
0,0.001883174389647413,1.3814268697363676e-05,1336,Ks,all
3,0.05834543343536703,0.09199809877647763,1336,P2,all
6,0.049078583972639464,0.08860601340310267,1336,P2,all
9,0.03095624299936118,0.035174683945914255,1336,P2,all
12,0.04556523742907436,0.09647982332271908,1336,P2,all
15,0.03170130435942445,0.04856482608433171,1336,P2,all
18,0.02993208345369485,0.05669224165620713,1336,P2,all
21,0.028372918888166843,0.040101111512545015,1336,P2,all
24,0.028268385680793425,0.045252877563574156,1336,P2,all
27,0.02753508818749498,0.03458306731355265,1336,P2,all
30,0.022765559252698565,0.032697226075442155,1336,P2,all
33,0.028179383008804685,0.0442319053146435,1336,P2,all
36,0.019836587752636248,0.025920580150496364,1336,P2,all
39,0.02578903520914169,0.048003540091826044,1336,P2,all
42,0.03806524766871006,0.08311217066669065,1336,P2,all
45,0.024739582336338058,0.04514541755946146,1336,P2,all
48,0.019071513015135055,0.026054980629684768,1336,P2,all
51,0.01732511696003807,0.02079697645441665,1336,P2,all
54,0.02271157040539121,0.037338360880045815,1336,P2,all
57,0.018391151713996575,0.024534049321571424,1336,P2,all
60,0.015000811334953252,0.026324626117187614,1336,P2,all
63,0.005812678848935732,0.004759568334621595,1336,P2,all
66,0.016749809285240686,0.034925935125628776,1335,P2,all
69,0.027281313387014984,0.2532224895302702,1335,P2,all
72,0.005223972863961285,0.010155998903497079,1334,P2,all
75,0.00458139630813047,0.00830713934440759,1334,P2,all
78,0.011939526734157024,0.05909656877040783,1332,P2,all
81,0.004224879672961201,0.015563561718322322,1331,P2,all
84,0.0026959576749414527,0.006941650874881389,1330,P2,all
87,0.0015484268161648452,0.003186444429069436,1330,P2,all
90,0.0015652647033521565,0.002514638765692599,1327,P2,all
93,0.0029980853741149714,0.009723464656824977,1325,P2,all
96,0.004151006334965813,0.01903838835070021,1315,P2,all
99,0.006481598827837074,0.04268551326383427,1308,P2,all
102,0.0008408874277057062,0.0004969805783767627,1301,P2,all
105,0.00015501703286093297,3.104712237629379e-05,1293,P2,all
108,0.0001791011886895601,4.1219247990167226e-05,1286,P2,all
111,0.0007217665490706289,0.0006610816812724449,1270,P2,all
114,0.00029231423366938853,0.00010689496161835809,1252,P2,all
117,0.0003389998347746488,0.00014066316688414075,1225,P2,all
120,0.0002976689936365022,0.00010606237523776385,1198,P2,all
123,0.0003899903342272041,0.00017749190174268435,1168,P2,all
126,0,0,1137,P2,all
129,0.0005985539750658675,0.00039266047972959776,1097,P2,all
132,0,0,1045,P2,all
135,0,0,983,P2,all
138,0,0,927,P2,all
141,0,0,863,P2,all
144,0,0,813,P2,all
147,0,0,740,P2,all
150,0,0,676,P2,all
153,0,0,596,P2,all
156,0,0,529,P2,all
159,0,0,458,P2,all
162,0,0,391,P2,all
165,0,0,334,P2,all
168,0,0,284,P2,all
171,0,0,226,P2,all
174,0,0,177,P2,all
177,0,0,111,P2,all
180,0,0,55,P2,all
183,0,0,15,P2,all
0,0.4041039477258597,0.6613962796446097,1336,P4,all
3,0.04451735436196501,0.053462976932714505,1336,P4,all
6,0.032228916370796376,0.04403204037142394,1336,P4,all
9,0.026115798559549527,0.03394334406821695,1336,P4,all
12,0.02938324690625103,0.03794097202671302,1336,P4,all
15,0.02430337632105537,0.03264015324907353,1336,P4,all
18,0.023279974662851623,0.03190343791174922,1336,P4,all
21,0.023842747429675678,0.02850252265475195,1336,P4,all
24,0.021630480681747853,0.023063537154008447,1336,P4,all
27,0.022333485118478758,0.021651042386483497,1336,P4,all
30,0.01899616993782265,0.01928314530615635,1336,P4,all
33,0.021540561132686348,0.01973085322620306,1336,P4,all
36,0.020987668699587538,0.02084151418274486,1336,P4,all
39,0.018178541180248586,0.01626342107434284,1336,P4,all
42,0.018030924378597726,0.012365125598682379,1336,P4,all
45,0.014155613048085186,0.0083049646413874,1336,P4,all
48,0.01801127110776409,0.01010955883283192,1336,P4,all
51,0.015313827780553551,0.007733450670554017,1336,P4,all
54,0.016625850781392757,0.01190078779071219,1336,P4,all
57,0.012859953658905495,0.0053926358852001595,1336,P4,all
60,0.012124316289191675,0.005374799702345407,1336,P4,all
63,0.010036599272382478,0.004219508536476534,1336,P4,all
66,0.010778032274440016,0.003991081381908367,1335,P4,all
69,0.013635598219851422,0.006225968263764025,1335,P4,all
72,0.009044357857687787,0.0037651565464355556,1335,P4,all
75,0.010700338790608577,0.004234770555821972,1335,P4,all
78,0.011016296292907443,0.003749949046083161,1335,P4,all
81,0.011306631221277019,0.005802362346775418,1335,P4,all
84,0.009538034999348527,0.0035414392749667438,1335,P4,all
87,0.010583266338503152,0.005474780034904437,1335,P4,all
90,0.008611091770369617,0.0033533613954821882,1334,P4,all
93,0.007938896525550762,0.002877404151704643,1334,P4,all
96,0.00899270372737521,0.0033477215349975915,1334,P4,all
99,0.009316887062477028,0.004200557043943475,1334,P4,all
102,0.007418985733706738,0.0020755430048973373,1334,P4,all
105,0.009298057819231629,0.003955343541805553,1334,P4,all
108,0.009362690533853898,0.002998427419133147,1333,P4,all
