l,m,v,n,t,b
0,0.0010137098772005128,5.7352824134324844e-06,1359,Ks,all
3,0.11215051060352806,0.35360768865169523,1359,P2,all
6,0.09480080547151302,0.3635005306936141,1359,P2,all
9,0.08582568448317925,0.3896346969425925,1359,P2,all
12,0.08172304367577554,0.33054010831561237,1359,P2,all
15,0.09161298447059749,0.44870315231259356,1359,P2,all
18,0.06931563572791449,0.3608056562489619,1359,P2,all
21,0.0753466274722317,0.2821206370953328,1359,P2,all
24,0.07850015282726258,0.36542280840591956,1359,P2,all
27,0.06051620473417222,0.20158284939815418,1359,P2,all
30,0.07379322917619696,0.33365550112497144,1359,P2,all
33,0.0567915850357074,0.1894798610653367,1359,P2,all
36,0.05608088523345616,0.20118095090724483,1359,P2,all
39,0.044849657372586824,0.14476575898003147,1359,P2,all
42,0.04679499792174188,0.14645357080634536,1359,P2,all
45,0.04710484982212525,0.166345510872834,1359,P2,all
48,0.03728756579037517,0.09120555128673102,1359,P2,all
51,0.04099730917010424,0.14009254622345046,1359,P2,all
54,0.03951526458895126,0.13156539176905052,1359,P2,all
57,0.03193089122529912,0.10440046247455752,1359,P2,all
60,0.025760214970420147,0.06611347421145632,1359,P2,all
63,0.024633842433409114,0.047694452758262555,1359,P2,all
66,0.01941809114309061,0.04151860687024497,1359,P2,all
69,0.02008426706106276,0.05330093469220871,1359,P2,all
72,0.017307235965528328,0.04507195211845903,1359,P2,all
75,0.010547433411823317,0.02988344419389639,1359,P2,all
78,0.01258927095673338,0.026695330801469293,1359,P2,all
81,0.007880213968330965,0.00891657581961554,1358,P2,all
84,0.007718556710124632,0.009660596932156141,1358,P2,all
87,0.007783904536231882,0.020417186549750888,1358,P2,all
90,0.010774912868551981,0.03959278498423405,1358,P2,all
93,0.007402492816200997,0.027590630041521163,1358,P2,all
96,0.01086853146889428,0.08654997993942468,1355,P2,all
99,0.006282248193649333,0.03368600034758152,1338,P2,all
102,0.005667332567725002,0.022519528710376005,1337,P2,all
105,0.009083053995868708,0.024915883065735805,1337,P2,all
108,0.005902912513532098,0.027568039778419005,1337,P2,all
111,0.005580214474572574,0.02388183134530829,1337,P2,all
114,0.004861188457377673,0.019705378524878355,1337,P2,all
117,0.007766797543800066,0.0291937748103503,1337,P2,all
120,0.012637018576650639,0.10423985739375105,1337,P2,all
123,0.006794988046599578,0.024201712565734536,1337,P2,all
126,0.01303856777690369,0.05898517690704669,1337,P2,all
129,0.014792245691452887,0.08830312756556338,1336,P2,all
132,0.011211599684749048,0.04596349999597142,1336,P2,all
135,0.009757023384010318,0.021130222974915073,1336,P2,all
138,0.002881816297175434,0.0019258876586384325,1336,P2,all
141,0.012374722761384238,0.031187434510961436,1336,P2,all
144,0.013217908752001045,0.035559299800160295,1337,P2,all
147,0.01322904669818625,0.019859531063385054,1337,P2,all
150,0.016610761139264834,0.05985342088639705,1338,P2,all
153,0.008475881517022473,0.025345495482082106,1338,P2,all
156,0.016060307097207554,0.039252490638808875,1337,P2,all
159,0.012044816448741455,0.022042889436957508,1337,P2,all
162,0.010779159772533554,0.010705314414371482,1337,P2,all
165,0.01199802537254671,0.01661918865189505,1337,P2,all
168,0.014034286739646509,0.024599690880404177,1337,P2,all
171,0.007906201970440138,0.008173956541519565,1336,P2,all
174,0.011562617383152273,0.012629682168044304,1335,P2,all
177,0.01425141139159803,0.03333671106176657,1336,P2,all
180,0.0221929007006996,0.062247395284311856,1336,P2,all
183,0.02874857010523396,0.11842670800846167,1336,P2,all
186,0.01932732290603689,0.046540666486881266,1336,P2,all
189,0.01931348815778385,0.041355250273417916,1336,P2,all
192,0.019810270781738616,0.05301764463241073,1335,P2,all
195,0.0208091011025225,0.11008224549491197,1335,P2,all
198,0.026792390950980807,0.09660270895723984,1334,P2,all
201,0.01724920644002534,0.035166925576426665,1334,P2,all
204,0.0182149692118412,0.04246935538772316,1334,P2,all
207,0.017481245161039282,0.029413676312351082,1334,P2,all
210,0.019299704451338964,0.036873827118579144,1333,P2,all
213,0.018393724495507698,0.035482838279423765,1333,P2,all
216,0.013939912997252,0.020042059281557494,1332,P2,all
219,0.022898272583965498,0.05401854792459983,1331,P2,all
222,0.018631128885292624,0.027384913262246457,1331,P2,all
225,0.018303622830998834,0.027899194439386966,1331,P2,all
228,0.018083053036003806,0.0593940240633576,1329,P2,all
231,0.016318262595568598,0.026902206169547117,1326,P2,all
