GeneId	Ks	P2	ReadDepth	GeneProduct
cds1216	0.057528	0.0101187	2.82755	membrane protein
cds989	0.0552878	0.0106369	5.16619	cinnamyl-alcohol dehydrogenase
cds888	0.0496749	0.0163142	5.05524	integrase/recombinase XerD
cds437	0.0484723	0.00621662	2.76914	hypothetical protein
cds1163	0.0426684	0.00669172	6.27366	membrane protein
cds205	0.0300313	0.00317751	3.18449	membrane protein
cds800	0.02869	0.0049393	6.20974	addiction module toxin
cds905	0.0226396	0.00484542	3.67564	amino acid permease
cds1118	0.0192238	0.00172541	3.06994	membrane protein
cds470	0.0175371	0.00177159	3.6492	cag pathogenicity island protein cag7
cds1316	0.0170401	0.0032415	3.70415	membrane protein
cds608	0.0158103	0.000601587	6.84252	hypothetical protein
cds699	0.00974115	0.000672863	4.53318	type I restriction-modification system specificity protein
cds310	0.00922026	0	5.76471	hypothetical protein
cds959	0.00714579	0	5.35323	copper ion binding protein CopP
cds1241	0.00686054	0.000865628	4.64902	adenine-specific DNA methyltransferase
cds887	0.00626901	0.00113676	4.28607	hypothetical protein
cds983	0.00550328	0.000929163	3.73998	beta-lactamase HcpC
cds607	0.0049308	0.000263855	5.31755	membrane protein
cds805	0.00450648	0	5.68376	hydrogenase expression/formation protein HypC
cds770	0.00447522	0.000169592	3.77962	plasminogen-binding protein PgbB
cds309	0.00375663	0	4.2321	Holliday junction resolvase-like protein
cds106	0.00367894	0	3.29798	hypothetical protein
cds1336	0.0029045	0.000269928	4.53993	amidophosphoribosyltransferase
cds577	0.00285339	0	5.38776	membrane protein
cds1007	0.00272265	0	5.25108	hypothetical protein
cds1000	0.00261507	0	3.74381	hypothetical protein
cds990	0.00261004	0.000104113	4.96605	LPS biosynthesis protein
cds1181	0.00235003	0	4.32051	50S ribosomal protein L5
cds353	0.00229541	0	3.92077	tRNA methyltransferase
cds1309	0.00228559	0	5.32836	biopolymer transport protein ExbD
cds1084	0.00217277	0	5.98742	50S ribosomal protein L33
cds1417	0.00215997	0.000245491	3.63095	iron(III) ABC transporter substrate-binding protein CeuE
